"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
55.41	0.01412056	1	0.03583682	0.9429983	0.5148991	6.805185e-07	1	0.005523695	0.01128136	0.9507118	0.07762833
55.42	0.01410971	1	0.03582738	0.9430003	0.5149025	6.787767e-07	1	0.00552208	0.01127856	0.9507124	0.0776251
55.43	0.01409887	1	0.03581794	0.9430024	0.5149059	6.770394e-07	1	0.005520466	0.01127576	0.950713	0.07762186
55.44	0.01408803	1	0.03580851	0.9430044	0.5149092	6.753065e-07	1	0.005518853	0.01127296	0.9507136	0.07761863
55.45	0.0140772	1	0.03579908	0.9430064	0.5149126	6.73578e-07	1	0.00551724	0.01127015	0.9507142	0.0776154
55.46	0.01406638	1	0.03578965	0.9430084	0.5149159	6.71854e-07	1	0.005515629	0.01126735	0.9507147	0.07761216
55.47	0.01405557	1	0.03578023	0.9430104	0.5149193	6.701344e-07	1	0.005514018	0.01126456	0.9507153	0.07760893
55.48	0.01404477	1	0.03577081	0.9430124	0.5149226	6.684192e-07	1	0.005512407	0.01126176	0.9507159	0.0776057
55.49	0.01403398	1	0.0357614	0.9430144	0.514926	6.667084e-07	1	0.005510798	0.01125896	0.9507165	0.07760247
55.5	0.01402319	1	0.03575199	0.9430164	0.5149293	6.650019e-07	1	0.005509189	0.01125617	0.9507171	0.07759924
55.51	0.01401241	1	0.03574259	0.9430184	0.5149327	6.632998e-07	1	0.005507581	0.01125337	0.9507177	0.07759601
55.52	0.01400165	1	0.03573318	0.9430204	0.514936	6.616021e-07	1	0.005505974	0.01125058	0.9507183	0.07759278
55.53	0.01399088	1	0.03572379	0.9430224	0.5149394	6.599087e-07	1	0.005504368	0.01124779	0.9507189	0.07758955
55.54	0.01398013	1	0.03571439	0.9430244	0.5149427	6.582197e-07	1	0.005502762	0.011245	0.9507194	0.07758632
55.55	0.01396939	1	0.035705	0.9430264	0.514946	6.56535e-07	1	0.005501157	0.01124221	0.95072	0.0775831
55.56	0.01395865	1	0.03569562	0.9430284	0.5149494	6.548546e-07	1	0.005499553	0.01123942	0.9507206	0.07757987
55.57	0.01394792	1	0.03568623	0.9430304	0.5149527	6.531785e-07	1	0.005497949	0.01123664	0.9507212	0.07757665
55.58	0.0139372	1	0.03567686	0.9430324	0.5149561	6.515067e-07	1	0.005496346	0.01123385	0.9507218	0.07757342
55.59	0.01392649	1	0.03566748	0.9430344	0.5149594	6.498391e-07	1	0.005494744	0.01123107	0.9507224	0.0775702
55.6	0.01391579	1	0.03565811	0.9430364	0.5149627	6.481759e-07	1	0.005493143	0.01122828	0.950723	0.07756697
55.61	0.01390509	1	0.03564874	0.9430384	0.5149661	6.465168e-07	1	0.005491542	0.0112255	0.9507235	0.07756375
55.62	0.01389441	1	0.03563938	0.9430404	0.5149694	6.448621e-07	1	0.005489943	0.01122272	0.9507241	0.07756053
55.63	0.01388373	1	0.03563002	0.9430424	0.5149728	6.432115e-07	1	0.005488344	0.01121994	0.9507247	0.0775573
55.64	0.01387306	1	0.03562067	0.9430444	0.5149761	6.415652e-07	1	0.005486745	0.01121716	0.9507253	0.07755408
55.65	0.0138624	1	0.03561132	0.9430464	0.5149794	6.399232e-07	1	0.005485148	0.01121439	0.9507259	0.07755086
55.66	0.01385174	1	0.03560197	0.9430484	0.5149827	6.382853e-07	1	0.005483551	0.01121161	0.9507265	0.07754764
55.67	0.0138411	1	0.03559263	0.9430504	0.5149861	6.366516e-07	1	0.005481955	0.01120883	0.9507271	0.07754442
55.68	0.01383046	1	0.03558329	0.9430523	0.5149894	6.350221e-07	1	0.005480359	0.01120606	0.9507276	0.0775412
55.69	0.01381983	1	0.03557395	0.9430543	0.5149927	6.333967e-07	1	0.005478765	0.01120329	0.9507282	0.07753799
55.7	0.01380921	1	0.03556462	0.9430563	0.5149961	6.317755e-07	1	0.005477171	0.01120052	0.9507288	0.07753477
55.71	0.0137986	1	0.03555529	0.9430583	0.5149994	6.301585e-07	1	0.005475578	0.01119775	0.9507294	0.07753155
